student_id,first_name,last_name,middle_name,suffix
2024-00101,Maria,Lopez,Cruz,
2024-00102,Juan,Reyes,Dela Cruz,
2024-00103,Ana,Santos,Lim,
2024-00104,Pedro,Garcia,Mendoza,Jr.
2024-00105,Sofia,Cruz,,
2024-00106,Miguel,Bautista,Tan,
2024-00107,Isabella,Dela Rosa,Aquino,
2024-00108,Diego,Ramos,Villanueva,III
2024-00109,Camille,Torres,Santiago,
2024-00110,Rafael,Mendoza,Cruz,
2024-00111,Luna,Aguilar,Reyes,
2024-00112,Carlos,Domingo,Pascual,
2024-00113,Patricia,Navarro,Hernandez,
2024-00114,Joaquin,Salazar,Castro,Sr.
2024-00115,Andrea,Pascual,Lopez,
